[|1]: Project-Id-Version: MIUI Watch\nLast-Translator: Automatically generated\nLanguage-Team: none\nLanguage: zh_CN\nMIME-Version: 1.0\nContent-Type: text/plain; charset=UTF-8\nContent-Transfer-Encoding: 8bit\n
[%.*fcnt/min.sport|2]: %.*f次/分|%.*f次/分
[%.*fgroup.sport|2]: %.*f组|%.*f组
[%.*fkcal.sport|2]: %.*f千卡|%.*f千卡
[%.*fkm.sport|2]: %.*f公里|%.*f公里
[%.*fkm_distance_calibration.sport|2]: 本次跑步距离为%.*f公里，是否需要手动校准？|本次跑步距离为%.*f公里，是否需要手动校准？
[%.*fkm_per_hr.sport|2]: %.*f公里/小时|%.*f公里/小时
[%.*fm.sport|2]: %.*f米|%.*f米
[%.*fnumber.sport|2]: %.*f个|%.*f个
[%.*ftime.sport|2]: %.*f次|%.*f次
[%.*ftrip.sport|2]: %.*f趟|%.*f趟
[%02d%02d_update_am_time.sleep|1]: %02d:%02dAM更新
[%02d%02d_update_pm_time.sleep|1]: %02d:%02dPM更新
[%02d%02d_update_time.sleep|1]: %02d:%02d更新
[%02d:%02dAMexit_sleep_mode.reminder|1]: 将于%02d:%02dAM退出\n睡眠模式
[%02d:%02dPMexit_sleep_mode.reminder|1]: 将于%02d:%02dPM退出\n睡眠模式
[%02d:%02d_update.health|1]: %02d:%02d更新
[%02d:%02d_update.pressure|1]: %02d:%02d更新
[%02d:%02dexit_sleep_mode.reminder|1]: 将于%02d:%02d退出睡眠\n模式
[%02dhour%02dmin.sport|1]: %02d:%02d
[%1$s_ampm_%2$s_time_combine.common|1]: %1$s%2$s
[%2d_target_hour.sleep|2]: 目标%d小时|目标%d小时
[%2d_target_hours.sleep|1]: 目标%d小时
[%d%2d_12AMend.calendar|1]: %1$d:%2$02dAM结束
[%d%2d_12PMend.calendar|1]: %1$d:%2$02dPM结束
[%d%2d_24end.calendar|1]: %1$d:%2$02d结束
[%d%d%dyear_month_day.todo|1]: %1$d年%2$d月%3$d日
[%d%d_target_time.sleep|1]: 目标%d小时%d分钟
[%d%d_time_sec.sleep|1]: %d小时%d分钟
[%d%dmin/hour.hr|1]: %d小时%d分钟
[%d%dmonth_day.common|1]: %1$d月%2$d日
[%d%dmonth_day.todo|1]: %1$d月%2$d日
[%d%dmonth_day_slash.common|1]: %1$02d/%2$02d
[%d%dravailable.settings|1]: 可用时长：约%d天%d小时
[%d%dyear_month.calendar|1]: %1$d年%2$d月
[%d:%d.worldclock|1]: %d:%d
[%d_cnt/min_just.health|1]: %d次/分(刚刚)
[%d_hour_sec.sleep|2]: %d小时|%d小时
[%d_message.notify|2]: 共%d条消息|共%d条消息
[%d_min_before.health|2]: %d分钟前|%d分钟前
[%d_min_before.notify|2]: %d分钟前|%d分钟前
[%d_min_sec.sleep|2]: %d分钟|%d分钟
[%d_mins_before.pressure|2]: %d分钟前|%d分钟前
[%d_unread_message.notify|2]: %d条新消息|%d条新消息
[%dcalories_unit.act|2]: 千卡|千卡
[%dcnt/min.common|2]: %d次/分钟|%d次/分钟
[%dcnt/min.sport|2]: %d次/分钟|%d次/分钟
[%dday_later.wm|2]: %d天后|%d天后
[%dfull_hour.common|2]: %d小时|%d小时
[%dfull_hour.hr|1]: %d小时
[%dfull_hour.reminder|2]: %d小时|%d小时
[%dfull_hour.sport|2]: %d小时|%d小时
[%dfull_min.common|2]: %d分钟|%d分钟
[%dfull_min.hr|1]: %d分钟
[%dfull_min.reminder|2]: %d分钟|%d分钟
[%dfull_min.settings|2]: %d分钟|%d分钟
[%dfull_min_28.settings|2]: %d分钟|%d分钟
[%dhour.common|2]: %d时|%d时
[%dhour.worldclock|2]: %d小时|%d小时
[%dintensity_unit.act|2]: 分钟|分钟
[%ditem.todo|2]: %d项|%d项
[%ditem_in_category.sport|2]: %d项|%d项
[%ditem_schedules.calendar|2]: 共%d个日程|共%d个日程
[%dmin.common|2]: %d分|%d分
[%dmin.vitality|2]: %d分钟|%d分钟
[%dmin_retry.common|2]: %d分钟后再试|%d分钟后再试
[%dmin_training.breath|2]: %d分钟呼吸训练|%d分钟呼吸训练
[%dmin_warmup.sport|2]: %d分钟|%d分钟
[%dminute.sport|2]: %d分钟|%d分钟
[%dpercent.common|1]: %d%%
[%dsec.common|2]: %d秒|%d秒
[%dsec.settings|2]: %d秒|%d秒
[%dsec_28.settings|2]: %d秒|%d秒
[%dsec_course_resume.sport|2]: 继续运动(%ds)|继续运动(%ds)
[%dsec_retry.common|2]: %d秒后再试|%d秒后再试
[%dsec_warmup.sport|2]: %d秒|%d秒
[%dstand_unit.act|2]: 次|次
[%dstep_unit.act|2]: 步|步
[%dtime/minute.health|2]: %d次/分|%d次/分
[%dtime_num.slep|2]: %d次|%d次
[%dtime_warmup.sport|2]: %d次|%d次
[%dupdate_mon.weather|2]: %d分钟前更新|%d分钟前更新
[%s%stime_combine.common|1]: %1$s%2$s
[%s%stime_combine.reminder|1]: %1$s%2$s
[+%d:%ds.worldclock|1]: +%d:%d
[3d_distance.sport|1]: 3D距离
[AQI|1]: 空气质量
[Apr.common|1]: 四月
[Apr_n.common|1]: 4月
[Aug.common|1]: 八月
[Aug_n.common|1]: 8月
[C102_cityname.worldclock|1]: 巴格达
[C102_timezone.worldclock|1]: 180
[C105_cityname.worldclock|1]: 曼谷
[C105_timezone.worldclock|1]: 420
[C106_cityname.worldclock|1]: 贝鲁特
[C106_timezone.worldclock|1]: 120
[C109_cityname.worldclock|1]: 达卡
[C109_timezone.worldclock|1]: 360
[C110_cityname.worldclock|1]: 迪拜
[C110_timezone.worldclock|1]: 240
[C114_cityname.worldclock|1]: 香港
[C114_timezone.worldclock|1]: 480
[C115_cityname.worldclock|1]: 雅加达
[C115_timezone.worldclock|1]: 420
[C116_cityname.worldclock|1]: 耶路撒冷
[C116_timezone.worldclock|1]: 120
[C117_cityname.worldclock|1]: 喀布尔
[C117_timezone.worldclock|1]: 240
[C118_cityname.worldclock|1]: 卡拉奇
[C118_timezone.worldclock|1]: 300
[C119_cityname.worldclock|1]: 加德满都
[C119_timezone.worldclock|1]: 360
[C120_cityname.worldclock|1]: 吉隆坡
[C120_timezone.worldclock|1]: 480
[C123_cityname.worldclock|1]: 马尼拉
[C123_timezone.worldclock|1]: 480
[C124_cityname.worldclock|1]: 马斯喀特
[C124_timezone.worldclock|1]: 240
[C125_cityname.worldclock|1]: 金边
[C125_timezone.worldclock|1]: 420
